"Item Group Code","Item Group","Item Code","Item","Factor","HS Code","HS07 Code","HS12 Code","CPC Code"
"1882","Agricult.Products, Total","920","Hides, cattle, wet salted","1","","410120, 410150, 410190","410120, 410150, 410190","02951.04"
"1882","Agricult.Products, Total","1105","Hides, horse nes","1","","410120, 410150, 410190","410120, 410150, 410190","02952.91"
"1882","Agricult.Products, Total","1104","Hides, horse, dry salted","1","","410120, 410150, 410190","410120, 410150, 410190","02952.05"
"1882","Agricult.Products, Total","1103","Hides, horse, wet salted","1","","410120, 410150, 410190","410120, 410150, 410190","02952.04"
"1882","Agricult.Products, Total","1214","Hides, wet salted nes","1","","410320, 410390","410320, 410390","02959.20"
"1882","Agricult.Products, Total","1182","Honey, natural","1","","040900","040900","02910"
"1882","Agricult.Products, Total","677","Hops","1","","121010, 121020","121010, 121020","01659"
"1882","Agricult.Products, Total","1096","Horses","1","","010110, 010190","010121, 010129","02131"
"1882","Agricult.Products, Total","910","Ice cream and edible ice","1","","210500","210500","22270"
"1882","Agricult.Products, Total","109","Infant food","1","","190110","190110","23991.01"
"1882","Agricult.Products, Total","175","Isoglucose","1","","170230, 170240, 170260, 170290","170230, 170240, 170260, 170290","23210.08"
"1882","Agricult.Products, Total","519","Juice, apple, concentrated","1","","200979","200979","21435.02"
"1882","Agricult.Products, Total","518","Juice, apple, single strength","1","","200971","200971","21435.01"
"1882","Agricult.Products, Total","514","Juice, citrus, concentrated","1","","200939","200939","21439.05"
"1882","Agricult.Products, Total","513","Juice, citrus, single strength","1","","200931","200931","21439.04"
"1882","Agricult.Products, Total","622","Juice, fruit nes","1","","200980, 200990","200981, 200989, 200990","21439.9"
"1882","Agricult.Products, Total","562","Juice, grape","1","","200961, 200969","200961, 200969","21434"
"1882","Agricult.Products, Total","509","Juice, grapefruit","1","","200921","200921","21432"
"1882","Agricult.Products, Total","510","Juice, grapefruit, concentrated","1","","200929","200929","21432.01"
"1882","Agricult.Products, Total","499","Juice, lemon, concentrated","1","","200939","200939","21439.03"
"1882","Agricult.Products, Total","498","Juice, lemon, single strength","1","","200931","200931","21439.02"
"1882","Agricult.Products, Total","583","Juice, mango","1","","200980","200989","21439.08"
"1882","Agricult.Products, Total","492","Juice, orange, concentrated","1","","200911, 200919","200911, 200919","21431.02"
"1882","Agricult.Products, Total","491","Juice, orange, single strength","1","","200911, 200912","200911, 200912","21431.01"
"1882","Agricult.Products, Total","576","Juice, pineapple","1","","200941","200941","21433"
"1882","Agricult.Products, Total","580","Juice, pineapple, concentrated","1","","200949","200949","21433.01"
"1882","Agricult.Products, Total","539","Juice, plum, concentrated","1","","200980","200989","21439.07"
"1882","Agricult.Products, Total","538","Juice, plum, single strength","1","","200980","200989","21439.06"
"1882","Agricult.Products, Total","496","Juice, tangerine","1","","200931","200931","21439.01"
"1882","Agricult.Products, Total","390","Juice, tomato","1","","200950","200950","21321"
"1882","Agricult.Products, Total","389","Juice, tomato, concentrated","1","","","",""
"1882","Agricult.Products, Total","466","Juice, vegetables nes","1","","200980, 200990","200989, 200990","21329"
"1882","Agricult.Products, Total","780","Jute","1","","530310, 530390","530310, 530390","01922.01"
"1882","Agricult.Products, Total","778","Kapok fibre","1","","530500","530500","01929.03"
"1882","Agricult.Products, Total","311","Kapokseed in shell","1","","120799","120799","01499.06"
"1882","Agricult.Products, Total","312","Kapokseed shelled","1","","120799","120799","01499.07"
"1882","Agricult.Products, Total","263","Karite nuts (sheanuts)","1","","120799","120799","01499.01"
"1882","Agricult.Products, Total","592","Kiwi fruit","1","","081050","081050","01352"
"1882","Agricult.Products, Total","224","Kola nuts","1","","080290","080270","01379.02"
"1882","Agricult.Products, Total","173","Lactose","1","","170211, 170219","170211, 170219","23210.06"
"1882","Agricult.Products, Total","1043","Lard","1","","150100","150110, 150120","21521"
"1882","Agricult.Products, Total","1221","Lard stearine oil","1","","150300","150300","21529.02"
"1882","Agricult.Products, Total","1217","Leather used & waste","1","","411520","411520","F1217"
"1882","Agricult.Products, Total","407","Leeks, other alliaceous vegetables","1","","070390","070390","01254"
"1882","Agricult.Products, Total","497","Lemons and limes","1","","080550","080550","01322"
"1882","Agricult.Products, Total","201","Lentils","1","","071340","071340","01704"
"1882","Agricult.Products, Total","372","Lettuce and chicory","1","","070511, 070519, 070521, 070529","070511, 070519, 070521, 070529","01214"
"1882","Agricult.Products, Total","333","Linseed","1","","120400","120400","01441"
"1882","Agricult.Products, Total","878","Liver prep.","1","","160220","160220","21189.01"
"1882","Agricult.Products, Total","210","Lupins","1","","121490","121490","01709.02"
"1882","Agricult.Products, Total","18","Macaroni","1","","190211, 190219","190211, 190219","23710"
"1882","Agricult.Products, Total","56","Maize","1","","100510, 100590","100510, 100590","0112"
"1882","Agricult.Products, Total","446","Maize, green","1","","070990","070999","01290.01"
"1882","Agricult.Products, Total","49","Malt","1","","110710, 110720","110710, 110720","24320"
"1882","Agricult.Products, Total","50","Malt extract","1","","190190","190190","23999.01"
"1882","Agricult.Products, Total","584","Mango pulp","1","","200899","200899","21499.01"
"1882","Agricult.Products, Total","571","Mangoes, mangosteens, guavas","1","","080450","080450","01316"
"1882","Agricult.Products, Total","809","Manila fibre (abaca)","1","","530500","530500","01929.07"
"1882","Agricult.Products, Total","160","Maple sugar and syrups","1","","170220","170220","23530"
"1882","Agricult.Products, Total","1241","Margarine, liquid","1","","151790","151790","21700.01"
"1882","Agricult.Products, Total","1242","Margarine, short","1","","151710, 151790","151710, 151790","21700.02"
"1882","Agricult.Products, Total","671","Maté","1","","090300","090300","01630"
"1882","Agricult.Products, Total","1173","Meal, meat","1","","230110","230110","21190.01"
"1882","Agricult.Products, Total","1166","Meat nes","1","","020830, 020840, 020850, 020890","020830, 020840, 020850, 020890","21170.92"
"1882","Agricult.Products, Total","1172","Meat nes, preparations","1","","160100, 160290","160100, 160290","F1172"
"1882","Agricult.Products, Total","1108","Meat, ass","1","","020500","020500","21118.02"
"1882","Agricult.Products, Total","874","Meat, beef and veal sausages","1","","160100","160100","21184.01"
"1882","Agricult.Products, Total","872","Meat, beef, dried, salted, smoked","1","","021020","021020","21182"
"1882","Agricult.Products, Total","875","Meat, beef, preparations","1","","160250","160250","F0875"
"1882","Agricult.Products, Total","1089","Meat, bird nes","1","","020890","020890","21170.01"
"1882","Agricult.Products, Total","947","Meat, buffalo","1","","020110, 020120, 020130, 020210, 020220, 020230","020110, 020120, 020130, 020210, 020220, 020230","21112"
"1882","Agricult.Products, Total","1127","Meat, camel","1","","020890","020860","21117.01"
"1882","Agricult.Products, Total","867","Meat, cattle","1","","020110, 020120, 020210, 020220","020110, 020120, 020210, 020220","21111.01"
"1882","Agricult.Products, Total","870","Meat, cattle, boneless (beef & veal)","1","","020130, 020230","020130, 020230","21111.02"
"1882","Agricult.Products, Total","1058","Meat, chicken","1","","020711, 020712, 020713, 020714, 020732, 020733, 020735, 020736","020711, 020712, 020713, 020714, 020760","21121"
